instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-budget,claude-opus-4-8,claude-opus-4-8,1,0.22191850000000002,170844,2184,169577,2167,0.22056650000000003,0,0,0.0,1267,17,0.001352,7,35.52,ok,False,True,,jobs_budget/results/opus-budget/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_budget/results/opus-budget/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-budget,claude-opus-4-8,claude-opus-4-8,0,0.48913475,505156,4588,503680,4571,0.48757375000000003,0,0,0.0,1476,17,0.001561,17,73.43,ok,False,True,,jobs_budget/results/opus-budget/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_budget/results/opus-budget/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-budget,claude-opus-4-8,claude-opus-4-8,0,0.28702049999999996,258336,2560,256751,2540,0.28533549999999996,0,0,0.0,1585,20,0.001685,10,45.33,ok,False,True,,jobs_budget/results/opus-budget/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_budget/results/opus-budget/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-budget,claude-opus-4-8,claude-opus-4-8,1,0.4377927500000001,481865,4214,480268,4194,0.4360957500000001,0,0,0.0,1597,20,0.001697,18,71.99,ok,False,True,,jobs_budget/results/opus-budget/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_budget/results/opus-budget/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-budget,claude-opus-4-8,claude-opus-4-8,1,0.23198049999999998,159178,3331,158302,3312,0.23100949999999998,0,0,0.0,876,19,0.0009710000000000001,7,52.13,ok,False,True,,jobs_budget/results/opus-budget/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_budget/results/opus-budget/django-guardian__django-guardian-899
django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-budget,claude-opus-4-8,claude-opus-4-8,0,0.29554800000000003,269950,3634,268912,3618,0.29443,0,0,0.0,1038,16,0.001118,11,60.16,ok,False,True,,jobs_budget/results/opus-budget/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_budget/results/opus-budget/django-guardian__django-guardian-896
a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-budget,claude-opus-4-8,claude-opus-4-8,1,0.63243225,585341,6809,584515,6793,0.6315262500000001,0,0,0.0,826,16,0.000906,17,89.22,ok,False,True,,jobs_budget/results/opus-budget/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_budget/results/opus-budget/a2aproject__a2a-python-443
openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-budget,claude-opus-4-8,claude-opus-4-8,0,0.63584825,541464,9434,540468,9419,0.63477725,0,0,0.0,996,15,0.001071,21,147.93,ok,False,True,,jobs_budget/results/opus-budget/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_budget/results/opus-budget/openai__openai-agents-python-1601
QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-budget,claude-opus-4-8,claude-opus-4-8,0,0.34654050000000003,182367,5406,181559,5386,0.3456325,0,0,0.0,808,20,0.0009080000000000001,7,61.17,ok,False,True,,jobs_budget/results/opus-budget/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_budget/results/opus-budget/QuantEcon__QuantEcon.py-797
pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-budget,claude-opus-4-8,claude-opus-4-8,0,0.6159367499999999,571056,5679,569494,5661,0.6142847499999999,0,0,0.0,1562,18,0.001652,16,97.92,ok,False,True,,jobs_budget/results/opus-budget/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_budget/results/opus-budget/pex-tool__pex-2888
