instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-capped,claude-opus-4-8,claude-opus-4-8,1,0.58949275,755865,4401,754598,4384,0.58814075,0,0,0.0,1267,17,0.001352,18,91.87,ok,False,True,,jobs_capping/results/opus-capped/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_capping/results/opus-capped/openai__openai-agents-python-1636
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-passthru,claude-opus-4-8,claude-opus-4-8,1,0.5468222500000001,675525,4109,674258,4092,0.54547025,0,0,0.0,1267,17,0.001352,16,87.83,ok,False,True,,jobs_capping/results/opus-passthru/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_capping/results/opus-passthru/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-capped,claude-opus-4-8,claude-opus-4-8,0,1.9332140000000002,2310798,19707,2309322,19689,1.9316480000000003,0,0,0.0,1476,18,0.0015660000000000001,40,353.83,ok,False,True,,jobs_capping/results/opus-capped/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_capping/results/opus-capped/openai__openai-agents-python-1633
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-passthru,claude-opus-4-8,claude-opus-4-8,0,2.0018025000000006,2426267,19516,2424791,19499,2.0002415000000004,0,0,0.0,1476,17,0.001561,42,337.58,ok,False,True,,jobs_capping/results/opus-passthru/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_capping/results/opus-passthru/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-capped,claude-opus-4-8,claude-opus-4-8,0,0.6629267500000001,818539,5531,816954,5510,0.6612367500000002,0,0,0.0,1585,21,0.00169,19,137.13,ok,False,True,,jobs_capping/results/opus-capped/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_capping/results/opus-capped/stanfordnlp__dspy-8739
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-passthru,claude-opus-4-8,claude-opus-4-8,0,0.6140512499999999,749870,4951,748285,4930,0.61236125,0,0,0.0,1585,21,0.00169,17,118.47,ok,False,True,,jobs_capping/results/opus-passthru/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_capping/results/opus-passthru/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-capped,claude-opus-4-8,claude-opus-4-8,1,0.59836825,762508,4514,760911,4495,0.59667625,0,0,0.0,1597,19,0.001692,18,81.2,ok,False,True,,jobs_capping/results/opus-capped/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_capping/results/opus-capped/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-capped,claude-opus-4-8,claude-opus-4-8,1,0.9984095000000001,1169120,10334,1168244,10316,0.9974435,0,0,0.0,876,18,0.0009660000000000001,26,167.5,ok,False,True,,jobs_capping/results/opus-capped/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_capping/results/opus-capped/django-guardian__django-guardian-899
django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-capped,claude-opus-4-8,claude-opus-4-8,0,0.9508889999999998,1194356,9271,1193318,9255,0.9497709999999998,0,0,0.0,1038,16,0.001118,27,186.05,ok,False,True,,jobs_capping/results/opus-capped/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_capping/results/opus-capped/django-guardian__django-guardian-896
a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-capped,claude-opus-4-8,claude-opus-4-8,0,1.17145625,1366813,10629,1365987,10613,1.17055025,0,0,0.0,826,16,0.000906,24,152.97,ok,False,True,,jobs_capping/results/opus-capped/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_capping/results/opus-capped/a2aproject__a2a-python-443
