instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-cap4k,claude-opus-4-8,claude-opus-4-8,1,0.61511875,763864,4953,762597,4936,0.61376675,0,0,0.0,1267,17,0.001352,18,117.36,ok,False,True,,jobs_context2/results/opus-cap4k/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_context2/results/opus-cap4k/openai__openai-agents-python-1636
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-epoch,claude-opus-4-8,claude-opus-4-8,1,0.9028972499999999,944314,5080,943047,5062,0.9015402499999998,0,0,0.0,1267,18,0.001357,21,100.92,ok,False,True,,jobs_context2/results/opus-epoch/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_context2/results/opus-epoch/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-cap4k,claude-opus-4-8,claude-opus-4-8,0,1.6142162499999997,1883142,17484,1881666,17466,1.6126502499999997,0,0,0.0,1476,18,0.0015660000000000001,36,268.24,ok,False,True,,jobs_context2/results/opus-cap4k/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_context2/results/opus-cap4k/openai__openai-agents-python-1633
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-epoch,claude-opus-4-8,claude-opus-4-8,0,2.0241597499999995,2311521,23296,2299021,22859,1.9994747499999996,0,0,0.0,12500,437,0.024685,41,354.72,ok,False,True,,jobs_context2/results/opus-epoch/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_context2/results/opus-epoch/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-cap4k,claude-opus-4-8,claude-opus-4-8,0,0.584227,669580,5693,667995,5672,0.5825370000000001,0,0,0.0,1585,21,0.00169,16,126.55,ok,False,True,,jobs_context2/results/opus-cap4k/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_context2/results/opus-cap4k/stanfordnlp__dspy-8739
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-epoch,claude-opus-4-8,claude-opus-4-8,0,0.6927039999999998,809814,7000,808229,6979,0.6910139999999998,0,0,0.0,1585,21,0.00169,19,147.07,ok,False,True,,jobs_context2/results/opus-epoch/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_context2/results/opus-epoch/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-cap4k,claude-opus-4-8,claude-opus-4-8,1,0.8690702499999999,1098252,7505,1096655,7485,0.86737325,0,0,0.0,1597,20,0.001697,25,130.48,ok,False,True,,jobs_context2/results/opus-cap4k/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_context2/results/opus-cap4k/openai__openai-agents-python-1619
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-epoch,claude-opus-4-8,claude-opus-4-8,1,0.52077675,635969,3949,634372,3929,0.5190797500000001,0,0,0.0,1597,20,0.001697,15,144.43,ok,False,True,,jobs_context2/results/opus-epoch/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_context2/results/opus-epoch/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-cap4k,claude-opus-4-8,claude-opus-4-8,1,0.4555712500000001,506502,4738,505626,4719,0.4546002500000001,0,0,0.0,876,19,0.0009710000000000001,13,75.96,ok,False,True,,jobs_context2/results/opus-cap4k/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_context2/results/opus-cap4k/django-guardian__django-guardian-899
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-epoch,claude-opus-4-8,claude-opus-4-8,1,0.44798475000000004,443285,5409,442409,5391,0.44701875,0,0,0.0,876,18,0.0009660000000000001,11,87.27,ok,False,True,,jobs_context2/results/opus-epoch/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_context2/results/opus-epoch/django-guardian__django-guardian-899
