rep,instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
1,openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-solo,claude-opus-4-8,claude-opus-4-8,1,0.57387975,601411,5444,600144,5427,0.57252775,0,0,0.0,1267,17,0.001352,21,99.37,ok,False,True,,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1636
1,openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.21977524999999995,195208,1790,193941,1774,0.21842824999999996,0,0,0.0,1267,16,0.0013469999999999999,8,39.92,ok,False,True,,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1636
1,openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-solo,claude-opus-4-8,claude-opus-4-8,0,1.4361487499999996,1660028,14435,1658552,14416,1.4345777499999997,0,0,0.0,1476,19,0.0015710000000000001,40,266.34,ok,False,True,,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1633
1,openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,1.268703,1013771,16794,993261,15665,1.242548,0,0,0.0,20510,1129,0.026155,28,264.62,ok,False,True,,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1633
1,stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.40914025000000004,382429,4154,380844,4133,0.40745025,0,0,0.0,1585,21,0.00169,14,97.42,ok,False,True,,jobs_powered/rep1/results/opus-solo/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_powered/rep1/results/opus-solo/stanfordnlp__dspy-8739
1,stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.28346525,268996,2449,267411,2429,0.28178025,0,0,0.0,1585,20,0.001685,11,51.75,ok,False,True,,jobs_powered/rep1/results/opus-tuned/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_powered/rep1/results/opus-tuned/stanfordnlp__dspy-8739
1,openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-solo,claude-opus-4-8,claude-opus-4-8,1,0.5100707499999999,584001,4904,582404,4885,0.5083787499999999,0,0,0.0,1597,19,0.001692,22,87.31,ok,False,True,,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_powered/rep1/results/opus-solo/openai__openai-agents-python-1619
1,openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.38420675000000004,409781,3436,408184,3416,0.38250975000000004,0,0,0.0,1597,20,0.001697,16,70.61,ok,False,True,,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_powered/rep1/results/opus-tuned/openai__openai-agents-python-1619
1,django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-solo,claude-opus-4-8,claude-opus-4-8,1,0.48124925,354122,7817,353246,7800,0.48028825,0,0,0.0,876,17,0.000961,14,116.08,ok,False,True,,jobs_powered/rep1/results/opus-solo/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_powered/rep1/results/opus-solo/django-guardian__django-guardian-899
1,django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-tuned,claude-opus-4-8,claude-opus-4-8,1,0.6553877499999999,579618,9059,578742,9042,0.65442675,0,0,0.0,876,17,0.000961,20,161.27,ok,False,True,,jobs_powered/rep1/results/opus-tuned/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_powered/rep1/results/opus-tuned/django-guardian__django-guardian-899
1,django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-solo,claude-opus-4-8,claude-opus-4-8,0,0.6396765,667878,7835,666840,7819,0.6385585,0,0,0.0,1038,16,0.001118,24,169.7,ok,False,True,,jobs_powered/rep1/results/opus-solo/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_powered/rep1/results/opus-solo/django-guardian__django-guardian-896
1,django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,0.5701207499999998,614847,5668,613809,5652,0.5690027499999999,0,0,0.0,1038,16,0.001118,20,165.88,ok,False,True,,jobs_powered/rep1/results/opus-tuned/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_powered/rep1/results/opus-tuned/django-guardian__django-guardian-896
1,a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-solo,claude-opus-4-8,claude-opus-4-8,0,1.3739175,1685507,12025,1684681,12009,1.3730114999999998,0,0,0.0,826,16,0.000906,42,195.37,ok,False,True,,jobs_powered/rep1/results/opus-solo/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_powered/rep1/results/opus-solo/a2aproject__a2a-python-443
1,a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-tuned,claude-opus-4-8,claude-opus-4-8,0,1.3645030000000002,1710982,11020,1710156,11004,1.3635970000000002,0,0,0.0,826,16,0.000906,41,178.61,ok,False,True,,jobs_powered/rep1/results/opus-tuned/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_powered/rep1/results/opus-tuned/a2aproject__a2a-python-443
