instance_id,repo,created_at,arm,model,model_ids_observed,resolved,total_cost_usd,prompt_side_tokens,completion_tokens,opus_prompt_tokens,opus_completion_tokens,opus_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,haiku_prompt_tokens,haiku_completion_tokens,haiku_cost_usd,n_turns,wall_clock_s,status,swap_fired,model_pin_ok,model_pin_drift,resolved_verdict_source,patch_empty,result_dir
openai__openai-agents-python-1636,openai/openai-agents-python,2025-09-02 09:55:04,opus-roust,claude-opus-4-8,claude-opus-4-8,1,1.0042255000000002,1015700,6378,1014433,6361,1.0028735000000002,0,0,0.0,1267,17,0.001352,18,124.39,ok,False,True,,jobs_roust/results/opus-roust/openai__openai-agents-python-1636/eval/openai__openai-agents-python-1636/report.json,False,jobs_roust/results/opus-roust/openai__openai-agents-python-1636
openai__openai-agents-python-1633,openai/openai-agents-python,2025-09-02 01:10:29,opus-roust,claude-opus-4-8,claude-opus-4-8,0,2.06517075,2151567,22316,2150091,22297,2.06359975,0,0,0.0,1476,19,0.0015710000000000001,38,364.09,ok,False,True,,jobs_roust/results/opus-roust/openai__openai-agents-python-1633/eval/openai__openai-agents-python-1633/report.json,False,jobs_roust/results/opus-roust/openai__openai-agents-python-1633
stanfordnlp__dspy-8739,stanfordnlp/dspy,2025-08-30 07:39:31,opus-roust,claude-opus-4-8,claude-opus-4-8,0,0.5689584999999998,483130,4484,481545,4463,0.5672684999999998,0,0,0.0,1585,21,0.00169,12,106.3,ok,False,True,,jobs_roust/results/opus-roust/stanfordnlp__dspy-8739/eval/stanfordnlp__dspy-8739/report.json,False,jobs_roust/results/opus-roust/stanfordnlp__dspy-8739
openai__openai-agents-python-1619,openai/openai-agents-python,2025-08-29 21:02:29,opus-roust,claude-opus-4-8,claude-opus-4-8,1,0.7827580000000001,847337,5953,845740,5933,0.7810610000000001,0,0,0.0,1597,20,0.001697,21,105.18,ok,False,True,,jobs_roust/results/opus-roust/openai__openai-agents-python-1619/eval/openai__openai-agents-python-1619/report.json,False,jobs_roust/results/opus-roust/openai__openai-agents-python-1619
django-guardian__django-guardian-899,django-guardian/django-guardian,2025-08-29 08:55:48,opus-roust,claude-opus-4-8,claude-opus-4-8,1,1.07696425,800554,17413,799678,17395,1.07599825,0,0,0.0,876,18,0.0009660000000000001,23,277.12,ok,False,True,,jobs_roust/results/opus-roust/django-guardian__django-guardian-899/eval/django-guardian__django-guardian-899/report.json,False,jobs_roust/results/opus-roust/django-guardian__django-guardian-899
django-guardian__django-guardian-896,django-guardian/django-guardian,2025-08-28 23:07:44,opus-roust,claude-opus-4-8,claude-opus-4-8,0,0.7287007499999998,681238,8959,680200,8943,0.7275827499999998,0,0,0.0,1038,16,0.001118,21,149.06,ok,False,True,,jobs_roust/results/opus-roust/django-guardian__django-guardian-896/eval/django-guardian__django-guardian-896/report.json,False,jobs_roust/results/opus-roust/django-guardian__django-guardian-896
a2aproject__a2a-python-443,a2aproject/a2a-python,2025-08-28 21:39:11,opus-roust,claude-opus-4-8,claude-opus-4-8,0,1.6468454999999997,1997615,14851,1996789,14835,1.6459394999999997,0,0,0.0,826,16,0.000906,42,240.01,ok,False,True,,jobs_roust/results/opus-roust/a2aproject__a2a-python-443/eval/a2aproject__a2a-python-443/report.json,False,jobs_roust/results/opus-roust/a2aproject__a2a-python-443
openai__openai-agents-python-1601,openai/openai-agents-python,2025-08-28 05:18:26,opus-roust,claude-opus-4-8,claude-opus-4-8,1,2.3097445,2516715,25099,2394142,22838,2.1758664999999997,0,0,0.0,122573,2261,0.133878,61,427.7,ok,False,True,,jobs_roust/results/opus-roust/openai__openai-agents-python-1601/eval/openai__openai-agents-python-1601/report.json,False,jobs_roust/results/opus-roust/openai__openai-agents-python-1601
QuantEcon__QuantEcon.py-797,QuantEcon/QuantEcon.py,2025-08-27 23:56:06,opus-roust,claude-opus-4-8,claude-opus-4-8,0,0.81968925,472408,14173,458455,11361,0.7916762500000001,0,0,0.0,13953,2812,0.028013,13,177.24,ok,False,True,,jobs_roust/results/opus-roust/QuantEcon__QuantEcon.py-797/eval/QuantEcon__QuantEcon.py-797/report.json,False,jobs_roust/results/opus-roust/QuantEcon__QuantEcon.py-797
pex-tool__pex-2888,pex-tool/pex,2025-08-27 19:57:49,opus-roust,claude-opus-4-8,claude-opus-4-8,0,0.974399,855379,9436,853817,9418,0.972747,0,0,0.0,1562,18,0.001652,16,150.11,ok,False,True,,jobs_roust/results/opus-roust/pex-tool__pex-2888/eval/pex-tool__pex-2888/report.json,False,jobs_roust/results/opus-roust/pex-tool__pex-2888
sdv-dev__SDV-2658,sdv-dev/SDV,2025-08-27 19:48:19,opus-roust,claude-opus-4-8,claude-opus-4-8,0,1.2407005000000002,1365782,12586,1364620,12566,1.2394385,0,0,0.0,1162,20,0.001262,33,645.83,ok,False,True,,jobs_roust/results/opus-roust/sdv-dev__SDV-2658/eval/sdv-dev__SDV-2658/report.json,False,jobs_roust/results/opus-roust/sdv-dev__SDV-2658
stanfordnlp__dspy-8718,stanfordnlp/dspy,2025-08-27 06:46:30,opus-roust,claude-opus-4-8,claude-opus-4-8,0,0.15153475,95629,1264,93775,1247,0.14959575,0,0,0.0,1854,17,0.001939,4,24.58,ok,False,True,,jobs_roust/results/opus-roust/stanfordnlp__dspy-8718/eval/stanfordnlp__dspy-8718/report.json,False,jobs_roust/results/opus-roust/stanfordnlp__dspy-8718
